sample_name	experiment_replicate	selection_id	selection_replicate	technical_replicate	pair1	pair2
input1	1	0			bTDP1-IN-5A_read1.fastq.gz	bTDP1-IN-5A_read2.fastq.gz
output1A	1	1	1		bTDP1-OU-5A_read1.fastq.gz	bTDP1-OU-5A_read2.fastq.gz
input2	2	0			bTDP1-IN-6A_read1.fastq.gz	bTDP1-IN-6A_read2.fastq.gz
output2A	2	1	1		bTDP1-OU-6A_read1.fastq.gz	bTDP1-OU-6A_read2.fastq.gz
input3	3	0			bTDP1-IN-7A_read1.fastq.gz	bTDP1-IN-7A_read2.fastq.gz
output3A	3	1	1		bTDP1-OU-7A_read1.fastq.gz	bTDP1-OU-7A_read2.fastq.gz
input4	4	0			bTDP1-IN-8A_read1.fastq.gz	bTDP1-IN-8A_read2.fastq.gz
output4A	4	1	1		bTDP1-OU-8A_read1.fastq.gz	bTDP1-OU-8A_read2.fastq.gz
